Campaign,Campaign Type,Campaign Status,Bid Strategy Type,Budget,Budget Type,Networks,Locations
Kehastuudio - LPG & Kehakujundus,Search,Paused,Maximize Clicks,20,Daily,Google Search,Tallinn;Harjumaa
Kehastuudio - Tselluliit & Nahk,Search,Paused,Maximize Clicks,15,Daily,Google Search,Tallinn;Harjumaa
Kehastuudio - Display Remarketing,Display,Paused,Maximize Clicks,10,Daily,Google Display Network,Tallinn;Harjumaa
Kehastuudio - Display Prospecting,Display,Paused,Maximize Clicks,10,Daily,Google Display Network,Tallinn;Harjumaa
